State,District,Candidate,Party,numVote,percVote,FEC
AK,At-Large,*Don E. Young (I),Republican,"185,296",63.94%,"$1,002,311"
AK,At-Large,Sharon Marie Cissna,Democratic,"82,927",28.61%,"$13,150"
AK,At-Large,Jim C. McDermott,Libertarian,"15,028",5.19%,
AK,At-Large,Ted Gianoutsos,Non Affiliated,"5,589",1.93%,
AK,At-Large,Write-in,Scattering,964,0.33%,
AK,At-Large,Sidney I. Hill,Non Affiliated,,,
AK,At-Large,Clinton DesJarlais,Write-in,,,
AK,At-Large,"David F. ""Dave"" Dohner",Write-in,,,
AK,At-Large,"Fletcher G. Fuller, Jr.",Write-in,,,
AL,CD 01,"*Josiah Robins ""Jo"" Bonner, Jr. (I)",Republican,"196,374",97.86%,"$1,136,367"
AL,CD 01,WI,Scattering,"4,302",2.14%,
AL,CD 01,Curtis Monroe Railey,Write-in,,,"$18,015"
AL,CD 02,*Martha Roby (I),Republican,"180,591",63.60%,"$1,035,417"
AL,CD 02,Therese Ford,Democratic,"103,092",36.31%,
AL,CD 02,WI,Scattering,270,0.10%,
AL,CD 03,"*Michael ""Mike"" Rogers (I)",Republican,"175,306",64.00%,"$1,066,029"
AL,CD 03,John Andrew Harris,Democratic,"98,141",35.83%,"$3,147"
AL,CD 03,WI,Scattering,483,0.18%,
AL,CD 04,*Robert Brown Aderholt (I),Republican,"199,071",73.97%,"$1,235,192"
AL,CD 04,Daniel Heath Boman,Democratic,"69,706",25.90%,"$13,561"
AL,CD 04,WI,Scattering,341,0.13%,
AL,CD 05,"*Morris J. ""Mo"" Brooks, Jr. (I)",Republican,"189,185",64.95%,"$902,153"
AL,CD 05,"Charlie Lee ""C.L."" Holley",Democratic,"101,772",34.94%,"$56,046"
AL,CD 05,WI,Scattering,336,0.12%,
AL,CD 06,"*Spencer T. Bachus, III (I)",Republican,"219,262",71.17%,"$2,720,806"
AL,CD 06,"Penny Huggins ""Colonel"" Bailey",Democratic,"88,267",28.65%,"$40,347"
AL,CD 06,WI,Scattering,573,0.19%,
AL,CD 07,"*Terrycina Andrea ""Terri"" Sewell (I)",Democratic,"232,520",75.85%,"$1,190,080"
AL,CD 07,"Donald Norwood ""Don"" Chamberlain",Republican,"73,835",24.09%,"$23,071"
AL,CD 07,WI,Scattering,203,0.07%,
AR,CD 01,"*Eric Alan ""Rick"" Crawford (I)",Republican,"138,800",56.23%,"$1,338,871"
AR,CD 01,Scott A. Ellington,Democratic,"96,601",39.13%,"$371,775"
AR,CD 01,Jessica Paxton,Libertarian,"6,427",2.60%,
AR,CD 01,Jacob Holloway,Green,"5,015",2.03%,
AR,CD 02,"*John Timothy ""Tim"" Griffin (I)",Republican,"158,175",55.19%,"$1,614,971"
AR,CD 02,"Herb C. Rule, III",Democratic,"113,156",39.48%,"$227,033"
AR,CD 02,Barbara Ward,Green,"8,566",2.99%,
AR,CD 02,Chris Hayes,Libertarian,"6,701",2.34%,
AR,CD 03,"*Stephen A. ""Steve"" Womack (I)",Republican,"186,467",75.90%,"$931,788"
AR,CD 03,Rebekah Kennedy,Green,"39,318",16.01%,
AR,CD 03,David Pangrac,Libertarian,"19,875",8.09%,
AR,CD 04,"*Thomas B. ""Tom"" Cotton",Republican,"154,149",59.53%,"$2,202,993"
AR,CD 04,Gene Jeffress,Democratic,"95,013",36.69%,"$99,830"
AR,CD 04,"Robert ""Bobby"" Tullis",Libertarian,"4,984",1.92%,
AR,CD 04,"J. Joshua ""Josh"" Drake",Green,"4,807",1.86%,
AZ,CD 01,*Ann Kirkpatrick,Democratic,"122,774",48.80%,"$2,353,527"
AZ,CD 01,Jonathan Paton,Republican,"113,594",45.15%,"$1,472,722"
AZ,CD 01,Kim Lee Allen,Libertarian,"15,227",6.05%,
AZ,CD 02,"*Ronald ""Ron"" Barber (I)",Democratic,"147,338",50.41%,"$2,770,669"
AZ,CD 02,Martha E. McSally,Republican,"144,884",49.57%,"$1,472,607"
AZ,CD 02,Anthony Prowell,Write-in,57,0.02%,
AZ,CD 03,*Raœl M. Grijalva (I),Democratic,"98,468",58.37%,"$897,619"
AZ,CD 03,Gabriela Saucedo Mercer,Republican,"62,663",37.15%,"$242,590"
AZ,CD 03,Blanca Arsenia Guerra,Libertarian,"7,567",4.49%,"$13,170"
AZ,CD 04,*Paul Anthony Gosar (I),Republican,"162,907",66.83%,"$1,130,823"
AZ,CD 04,Johnnie Elbert Robinson,Democratic,"69,154",28.37%,
AZ,CD 04,"Joseph ""Joe"" Pamelia",Libertarian,"9,306",3.82%,
AZ,CD 04,Richard Grayson,Americans Elect,"2,393",0.98%,
AZ,CD 05,"*Matthew James ""Matt"" Salmon",Republican,"183,470",67.19%,"$1,279,702"
AZ,CD 05,Spencer Collins Morgan,Democratic,"89,589",32.81%,
AZ,CD 06,*David Schweikert (I),Republican,"179,706",61.30%,"$1,961,217"
AZ,CD 06,"Matthew T. ""Matt"" Jette",Democratic,"97,666",33.31%,"$25,851"
AZ,CD 06,Jack Anderson,Libertarian,"10,167",3.47%,
AZ,CD 06,Mark Salazar,Green,"5,637",1.92%,
AZ,CD 06,James Ketover,Write-in,1,0.00%,
AZ,CD 07,"*Edward L. ""Ed"" Pastor (I)",Democratic,"104,489",81.74%,"$1,021,748"
AZ,CD 07,Joe Cobb,Libertarian,"23,338",18.26%,
AZ,CD 08,*Trent Franks (I),Republican,"172,809",63.35%,"$374,910"
AZ,CD 08,Gene Paul Scharer,Democratic,"95,635",35.06%,"$8,937"
AZ,CD 08,Stephen Dolgos,Americans Elect,"4,347",1.59%,
AZ,CD 09,*Kyrsten Sinema,Democratic,"121,881",48.73%,"$2,158,871"
AZ,CD 09,Vernon B. Parker,Republican,"111,630",44.63%,"$1,190,927"
AZ,CD 09,Powell Gammill,Libertarian,"16,620",6.64%,
CA,CD 01,*Doug LaMalfa,Republican,"168,827",57.38%,"$862,095"
CA,CD 01,"James E. ""Jim"" Reed",Democratic,"125,386",42.62%,"$192,396"
CA,CD 02,*Jared Huffman,Democratic,"226,216",71.24%,"$1,449,221"
CA,CD 02,"Daniel W. ""Dan"" Roberts",Republican,"91,310",28.76%,"$268,164"
CA,CD 03,*John Raymond Garamendi (I),Democratic,"126,882",54.23%,"$2,018,228"
CA,CD 03,"Kimberly ""Kim"" Dolbow Vann",Republican,"107,086",45.77%,"$1,237,382"
CA,CD 04,"*Thomas ""Tom"" McClintock (I)",Republican,"197,803",61.11%,"$1,191,066"
CA,CD 04,Jack Uppal,Democratic,"125,885",38.89%,"$57,057"
CA,CD 05,"*C. Michael ""Mike"" Thompson (I)",Democratic,"202,872",74.47%,"$1,772,864"
CA,CD 05,Randy Loftin,Republican,"69,545",25.53%,
