District,Code,Representative,,Pronunciation,,Born,Religion,First,2014 US House,,Cook PVI,,2012 President,,,,2008 President,,,,2014 Two-Party,,2012 Two-Party,,2010 Census Adult Pop. Demographics,,,,,,Special Elections,,,2014 House Vote,,,,2012 House Vote,,Special Elections,,,2012 Presidential Election,,,2008 Presidential Election,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,,,,,2010 Census Adult Pop. Demographics,,,,,,2012 President,,,,Downballot Avg,,,Partisan Voting Index,,,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,,2012 President,,Downballot Average,
,,First Name,Last Name,Phonetic,IPA,,,Elected,Dem,Rep,,,Obama,Romney,12PVI,,Obama,McCain,08PVI,,Dem,Rep,Dem,Rep,White,Black,Hisp.,Asian,Native,Other,Dem,Rep,,Total,Dem,Rep,Other,Dem,Rep,Dem,Rep,raw CPVI,Obama,Romney,raw12PVI,Obama,McCain,raw08PVI,Total,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total,White (NH),Black (NH),Hispanic (any race),Asian and Pacific Islander (NH),Native American (NH),Other (NH),,,State,White,Black,Hisp.,Asian,Native,Other,Obama,Romney,12PVI,,Dem,Rep,,2012 raw,,Two-Party Vote,,District,Total,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total,White (NH),Black (NH),Hispanic (any race),Asian and Pacific Islander (NH),Native American (NH),Other (NH),Obama,Romney,Dem,Rep
Nationwide,USA,Barack,Obama,(buh-RAHK oh-BAH-muh),/bə.'ɹɑk oʊ.'bɑ.mə/,1961,Christian,2008,45.7%,51.4%,Even,,52.0%,48.0%,Even,,53.7%,46.3%,Even,,47.1%,52.9%,50.6%,49.4%,67.0%,11.6%,14.2%,5.0%,0.7%,1.5%,,,,"77,864,840","35,618,808","40,009,363","2,236,669",59655241,"58,285,091",,,0,65918507,60934407,0,69499428,59950323,0,308742908,196816822,37685741,50476704,14946373,2246660,6506495,234562019,157100379,27323575,33345990,11634754,1599447,3528991,,,Nationwide,67.0%,11.6%,14.2%,5.0%,0.7%,1.5%,52.0%,48.0%,Even,,,,,0.00,,52.0%,48.0%,Statewide,308745538,196816822,37685741,50476704,14946373,2246660,6506495,234562019,157100379,27323575,33345990,11634754,1599447,3528991,65918507,60934407,,
Alabama 1st,AL-01,Bradley,Byrne,(BRADD-lee BURN),/'bɹæd.li bɜɹn/,1955,Episcopalian,2013*,31.7%,68.2%,R+,15,37.7%,62.3%,R+,14,38.7%,61.3%,R+,15,31.8%,68.2%,0%,100%,68.5%,25.6%,2.5%,1.3%,1.1%,1.0%,,,1,"152,234","48,278","103,758",198,0,196374,,,-14.6,111735,184786,-14.3,115975,183753,-15.0,682423,449539,187508,19086,9296,7644,9350,515948,353347,132261,12904,6918,5524,4994,,,Alabama,69.4%,24.7%,3.2%,1.1%,0.5%,1.0%,38.8%,61.2%,R+,13,43.7%,56.3%,,-13.18,,65918507,60934407,1,4779736,3204402,1244437,185602,54913,25907,64475,3647277,2530761,902278,118336,41643,19550,34709,795696,1255925,0.437234,0.562766
Alabama 2nd,AL-02,Martha,Roby,(MAR-thuh ROH-bee),/'mɑɹ.θə 'ɹoʊ.bi/,1976,Presbyterian,2010,32.6%,67.3%,R+,17,36.7%,63.3%,R+,15,35.2%,64.8%,R+,18,32.6%,67.4%,36.3%,63.7%,66.5%,27.8%,3.0%,1.2%,0.5%,1.0%,,,2,"167,952","54,692","113,103",157,103092,180591,,,-16.9,"105,572","182,287",-15.3,"101,076","186,164",-18.5,686078,438782,201723,24648,7900,3072,9953,522837,347855,145568,15912,6059,2371,5072,,,Alaska,68.4%,3.1%,4.7%,6.2%,13.2%,4.5%,42.7%,57.3%,R+,9,40.8%,59.2%,,-9.28,,Obama,Romney,2,710231,454831,21862,39038,44357,102124,46358,521588,356564,16051,24290,32158,69054,23471,122640,164676,0.408267,0.591733
Alabama 3rd,AL-03,Mike,Rogers,(MIKE RAH-jerz),/maɪk 'ɹɑ.dʒəɹz/,1958,Baptist,2002,33.7%,66.1%,R+,16,37.1%,62.9%,R+,15,36.9%,63.1%,R+,17,33.8%,66.2%,35.9%,64.1%,71.5%,23.9%,2.3%,1.1%,0.3%,0.9%,,,3,"156,620","52,816","103,558",246,98141,175306,,,-15.8,"103,089","174,465",-14.8,"103,221","176,434",-16.8,680857,473473,170355,17932,7923,2117,9057,523481,374072,125248,11783,5992,1705,4681,,,Arizona,63.4%,3.6%,25.0%,3.0%,3.7%,1.4%,45.4%,54.6%,R+,7,45.1%,54.9%,,-6.58,,53.7%,46.3%,3,6392017,3695647,239101,1895149,181468,257426,123226,4763003,3017895,172249,1191203,140517,175207,65932,1025232,1233654,0.451469,0.548531
Alabama 4th,AL-04,Robert,Aderholt,(RAH-bert ADD-er-holt),/'ɹɑ.bəɹt 'æ.ɾəɹ.hoʊlt/,1965,Congregationalist,1996,0%,98.6%,R+,28,24.3%,75.7%,R+,28,25.8%,74.2%,R+,28,0%,100%,25.9%,74.1%,86.9%,6.5%,4.3%,0.5%,0.7%,1.0%,,,4,"134,752",0,"132,831","1,921",69706,199071,,,-27.8,"65,818","205,423",-27.7,"71,095","204,123",-27.9,681487,578453,46163,38837,3200,5218,9616,521081,452704,34104,22579,2369,3870,5455,,,Arkansas,77.5%,14.2%,5.0%,1.4%,0.7%,1.2%,37.8%,62.2%,R+,14,49.9%,50.1%,,-14.12,,69499428,59950323,4,2915918,2173469,447102,186050,41156,20183,47958,2204443,1708907,313887,111094,29961,14876,25718,394409,647744,0.499180,0.500820
Alabama 5th,AL-05,Mo,Brooks,(MOH BROOKS),/moʊ bɹʊks/,1954,Christian,2010,0%,74.4%,R+,17,35.3%,64.7%,R+,17,36.7%,63.3%,R+,17,0%,100%,35.0%,65.0%,76.1%,16.3%,3.9%,1.6%,0.7%,1.4%,,,5,"154,974",0,"115,338","39,636",101772,189185,,,-16.8,"103,598","189,860",-16.7,"107,005","184,225",-16.9,683019,506307,114887,32572,11051,4753,13449,523079,398175,85119,20508,8381,3628,7268,,,California,44.4%,5.9%,33.1%,14.0%,0.4%,2.2%,61.9%,38.1%,D+,10,59.7%,40.3%,,9.91,,Obama,McCain,5,37253956,14956253,2163804,14013719,4903647,162250,1054283,27958916,12409858,1640279,9257499,3905481,125020,620779,7854285,4839958,0.597339,0.402661
Alabama 6th,AL-06,Gary,Palmer,(GAIR-ee PAWL-mer),/'gɛ.ɹi 'pɔl.məɹ/,1954,Christian,2014,23.7%,76.2%,R+,28,24.9%,75.1%,R+,27,25.2%,74.8%,R+,28,23.7%,76.3%,28.7%,71.3%,80.8%,12.5%,4.1%,1.6%,0.3%,0.8%,,,6,"178,449","42,291","135,945",213,88267,219262,,,-27.7,"77,517","233,566",-27.0,"78,559","232,644",-28.4,682422,537110,91612,33409,10985,1830,7476,517305,417809,64797,21238,8052,1410,3999,,,Colorado,73.9%,3.6%,17.5%,2.8%,0.6%,1.5%,52.7%,47.3%,D+,1,49.9%,50.1%,,0.78,,,,6,5029196,3520793,188778,1038687,141225,31244,108469,3803587,2810513,138811,664462,107443,23946,58412,1323102,1185243,0.499043,0.500957
Alabama 7th,AL-07,Terri,Sewell,(TAIR-ee SOO-uhl),/'tɛ.ɹi 'su.əl/,1965,Protestant,2010,98.4%,0%,D+,19,72.8%,27.2%,D+,21,71.8%,28.2%,D+,18,100%,0%,75.9%,24.1%,35.7%,60.2%,2.6%,0.7%,0.2%,0.6%,,,7,"135,899","133,687",0,"2,212",232520,73835,,,19.4,"228,276","85,488",20.8,"225,642","88,803",18.1,683450,220738,432189,19118,4558,1273,5574,523546,186799,315181,13412,3872,1042,3240,,,Connecticut,74.2%,8.9%,11.6%,3.7%,0.2%,1.4%,58.8%,41.2%,D+,7,55.4%,44.6%,,6.81,,,,7,3574097,2546262,335119,479087,135049,6885,71695,2757082,2046548,246016,318947,101215,5044,39312,905109,634899,0.554059,0.445941
Alaska At-Large,AK-AL,Don,Young,(DAHN YUHNG),/dɑn jʌŋɡ/,1933,Episcopalian,1973*,41.0%,51.0%,R+,12,42.7%,57.3%,R+,9,38.9%,61.1%,R+,15,44.6%,55.4%,30.9%,69.1%,68.4%,3.1%,4.7%,6.2%,13.2%,4.5%,,,8,"279,725","114,596","142,566","22,563",82927,185296,,,-12.0,122640,164676,-9.3,123594,193841,-14.8,708570,454831,21862,39038,44357,102124,46358,521588,356564,16051,24290,32158,69054,23471,,,Delaware,69.0%,19.5%,6.7%,3.2%,0.3%,1.3%,59.4%,40.6%,D+,7,60.3%,39.7%,,7.48,,,,8,897934,586752,186782,73221,28546,2824,19809,692169,477636,134984,46136,21844,2248,9321,242584,165484,0.602589,0.397411
