state,2010,2014
AL,R+13,R+14
AK,R+13,R+12
AZ,R+6,R+7
AR,R+9,R+14
CA,R+7,D+9
CO,EVEN,D+1
CT,D+7,D+7
DE,D+7,D+8
FL,R+2,R+2
GA,R+7,R+6
HI,D+12,D+20
ID,R+17,R+18
IL,D+8,D+8
IN,R+6,R+5
IA,D+1,D+1
KS,R+11,R+12
KY,R+10,R+13
LA,R+10,R+12
ME ,D+5,D+5
MD ,D+9,D+10
MA ,D+12,D+10
MI,D+4,D+4
MN ,D+2,D+2
MS,R+10,R+9
MO ,R+3,R+5
MT,R+7,R+7
NE,R+13,R+12
NV,D+1,D+2
NH,D+2,D+1
NJ,D+4,D+6
NM ,D+2,D+4
NY,D+10,D+11
NC,R+4,R+3
ND,R+10,R+10
OH,R+1,R+1
OK,R+17,R+19
OR,D+4,D+5
PA,D+2,D+1
RI,D+11,D+11
SC,R+8,R+8
SD,R+9,R+10
TN,R+9,R+12
TX,R+10,R+10
UT,R+20,R+22
VT,D+13,D+16
VA,R+2,EVEN
WA ,D+5,D+5
WV ,R+8,R+13
WI,D+2,D+2
WY,R+20,R+22
